,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
43,fromis_9,58,1088607,https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,"['k-pop', 'k-pop girl group']",#menow,Unlock My World,70,2023-06-05,169906,False,https://open.spotify.com/album/48DcB4A9LV3DugLTILN1D9,https://open.spotify.com/track/4lIAPwAU6R8PAy2WhykC4i
44,BIBI,66,996941,https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9,"['k-pop', 'korean r&b']",BIBI Vengeance,Lowlife Princess: Noir,80,2022-11-17,165135,False,https://open.spotify.com/album/2ZYIby6irhfnCE3uQDBCi0,https://open.spotify.com/track/0ra3bPUOj2YnY4FJHXtgHZ
45,RADWIMPS,70,3500219,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",Suzume,Suzume (Motion Picture Soundtrack),73,2022-11-10,238560,False,https://open.spotify.com/album/6Ar5HxNWXtvraqs7FI7bYq,https://open.spotify.com/track/1n1y2kFPISpF9WGD3JaFo5
46,george,48,96602,https://open.spotify.com/artist/2pRZp2WxvnWWiSPcSSYkNV,['korean city pop'],Boat,Boat,59,2017-11-17,191994,False,https://open.spotify.com/album/5rQ22IrvP4D6z5dHcAS6De,https://open.spotify.com/track/2PrweoTShLVamfIdefEaek
47,NCT 127,66,6913985,https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH,"['k-pop', 'k-pop boy group']",2 Baddies,2 Baddies - The 4th Album,66,2022-09-16,230293,False,https://open.spotify.com/album/6p80QT3z7kOHpYdnsItQTQ,https://open.spotify.com/track/1WKLxJpDqkQ9x1qEDNutoX
48,ENHYPEN,76,6039057,https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9,"['anime', 'k-pop boy group']",Bite Me,DARK BLOOD,89,2023-05-22,157531,False,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa
49,LeeHi,64,1542200,https://open.spotify.com/artist/7cVZApDoQZpS447nHTsNqu,['k-pop'],ONLY,4 ONLY,81,2021-09-09,240906,False,https://open.spotify.com/album/1DKgZeAYrjslAPZVMe6EFt,https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI
50,Sung Si Kyung,48,211326,https://open.spotify.com/artist/7jFUYMpMUBDL4JQtMZ5ilc,['korean pop'],Every moment of you 너의 모든 순간,"My Love From the Star 별에서 온 그대 (Original Television Soundtrack), Pt. 7",60,2014-02-12,243323,False,https://open.spotify.com/album/7vv0uqXP5CmCkBczh3z4ZV,https://open.spotify.com/track/4YTvuLSqKshDOJvwyDmAYS
51,B.I,59,678582,https://open.spotify.com/artist/0UntV1Bw2hk3fbRrm9eMP6,['k-pop'],BTBT,BTBT,72,2022-05-13,219549,False,https://open.spotify.com/album/6z2Ij8op0iB16BnmrCy0vH,https://open.spotify.com/track/4XcxgZSriCYamtIA7BgT7V
52,BTOB,55,1503939,https://open.spotify.com/artist/2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']",Missing You,Brother Act.,65,2017-10-16,236829,False,https://open.spotify.com/album/3oXEVu3gwToJRkE2xAW44a,https://open.spotify.com/track/2zlgwqw8BLX2JGB76LIFeF
53,Paul Kim,50,248913,https://open.spotify.com/artist/4qRXrzUmdy3p33lgvJEzdv,['korean pop'],Me After You,Me After You,61,2018-10-29,280358,False,https://open.spotify.com/album/0caJtWmA3k3kY6kourOUHh,https://open.spotify.com/track/5AkyvofVWUqds8x1HHgDU9
54,"Car, the garden",47,143682,https://open.spotify.com/artist/7c1HgFDe8ogy5NOZ1ANCJQ,"['k-indie', 'korean pop']",Scars leave beautiful trace,"Alchemy of Souls, Pt. 1 (Original Television Soundtrack)",60,2022-06-26,213946,False,https://open.spotify.com/album/5suBD7aDfNiIkbUvYaHtfR,https://open.spotify.com/track/1y6dEjheBdnopNo0xDXJ9P
55,G-DRAGON,57,2934675,https://open.spotify.com/artist/30b9WulBM8sFuBo17nNq9c,"['k-pop', 'k-rap']",Without You (Feat. ROSE),One of a Kind,67,2012-09-15,242677,False,https://open.spotify.com/album/4EitCfNTOlnqtRrmBBuwGQ,https://open.spotify.com/track/3V375E3xldRPEEcIKiw83l
56,MeloMance,51,245657,https://open.spotify.com/artist/6k4r73Wq8nhkCDoUsECL1e,"['k-pop', 'korean pop']","Love, Maybe","Love, Maybe (A Business Proposal OST Special Track)",69,2022-02-18,185000,False,https://open.spotify.com/album/5lKdnY9bGYUyfaJhcRnHgk,https://open.spotify.com/track/2X45nVBeYzmDlrXji9Av0Q
57,AKMU,54,1319575,https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv,['k-pop'],"How can I love the heartbreak, you're the one I love",SAILING,66,2019-09-25,290095,False,https://open.spotify.com/album/7C0Ci0alKWwwXPIFYEdVcn,https://open.spotify.com/track/0hqj5JBnFt1BHEz2UCFwrl
58,MONSTA X,62,5100954,https://open.spotify.com/artist/4TnGh5PKbSjpYqpIdlW5nz,"['k-pop', 'k-pop boy group']",Beautiful Liar,REASON,68,2023-01-09,183120,False,https://open.spotify.com/album/5evr2BAxQmxyF8dZyaezzS,https://open.spotify.com/track/1F6qqwgyBjcIMzen8RrOXQ
59,BAEKHYUN,61,2625920,https://open.spotify.com/artist/4ufh0WuMZh6y4Dmdnklvdl,['k-pop'],Bambi,Bambi - The 3rd Mini Album,68,2021-03-30,213053,False,https://open.spotify.com/album/5xOx4mWABbTj0qWyZC4q1p,https://open.spotify.com/track/60VaORSJ5x1D4ZPSc0g2En
60,KyoungSeo,41,87454,https://open.spotify.com/artist/4rxWm4OrS8IRQ3YxDUwnJA,"['k-pop ballad', 'korean pop']",Shiny Star(2020),Shiny Star(2020),54,2020-11-14,217253,False,https://open.spotify.com/album/6Y6861L8Iwse3spu3vOWEc,https://open.spotify.com/track/7MXtr93z4ltQzhfIxYnYWX
61,Epik High,53,712966,https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw,"['k-pop', 'k-rap', 'korean old school hip hop']",Can You Hear My Heart (feat. LEE HI),"Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack), Pt 6",60,2016-09-20,248143,False,https://open.spotify.com/album/1BeWYcLEYlD2rOaa0EWdSr,https://open.spotify.com/track/7n5eQJYX7e6H5gkzgyEfQG
62,WOODZ,55,729945,https://open.spotify.com/artist/6y9nlaoynxSvoTGY09Vdcy,"['k-pop', 'korean r&b']",Drowning,OO-LI,63,2023-04-26,244986,False,https://open.spotify.com/album/06isIi4cIfsaH8ot5UoRD4,https://open.spotify.com/track/4xeugB5MqWh0jwvXZPxahq
63,M.C the Max,38,128043,https://open.spotify.com/artist/3MaRWfwKpbYnkYHC5gRKYo,"['classic k-pop', 'korean pop']",No matter where,Pathos,48,2016-01-28,331154,False,https://open.spotify.com/album/42FCxz16YLTZ1nw5lVfpaR,https://open.spotify.com/track/7oT5JOWwxnwcZRI6NLzhWs
64,Kassy,45,87836,https://open.spotify.com/artist/6pU8o91xAS0aWNjj06nQSU,"['k-pop', 'korean pop']",Aching,"Alchemy of Souls, Pt. 2 (Original Television Soundtrack)",54,2022-07-03,251000,False,https://open.spotify.com/album/2lQsPX6qa4zqpcPwVLRCsU,https://open.spotify.com/track/017eGASA1dbhQOb942TuQx
65,ATEEZ,72,3021406,https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L,"['k-pop', 'k-pop boy group']",BOUNCY (K-HOT CHILLI PEPPERS),THE WORLD EP.2 : OUTLAW,84,2023-06-16,187310,False,https://open.spotify.com/album/5DxixnuklLg28S7UMeGC9H,https://open.spotify.com/track/5KyOUICJIvO0z71MBdPGiX
66,ITZY,68,5622225,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,"['k-pop', 'k-pop girl group']",Cheshire,CHESHIRE,76,2022-11-30,182453,False,https://open.spotify.com/album/2a1ezg7hE6Dyuymv1aCnkm,https://open.spotify.com/track/7ixVW7RobslvMrvlzHYLha
67,JISOO,69,1354603,https://open.spotify.com/artist/6UZ0ba50XreR4TM8u322gs,['k-pop'],FLOWER,ME,84,2023-03-31,173134,False,https://open.spotify.com/album/4QuczuzDZNzCDli5Gz6DQ0,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s
68,Kwon Jin Ah,45,119545,https://open.spotify.com/artist/0kRAVpQhUUArA8UnYwEdeZ,"['k-indie', 'korean pop']",Something's Wrong,Something's Wrong,56,2020-04-01,243880,False,https://open.spotify.com/album/5TbAZIZKLCNNM0F7rXWqb1,https://open.spotify.com/track/3ctGT9T08w6VnpND1zhPTW
69,Simon Dominic,48,454127,https://open.spotify.com/artist/57W9ikVc6O2wLDtmclSjvN,"['k-pop', 'k-rap', 'korean r&b']",Simon Dominic,₩ & ONLY,50,2015-08-21,223087,False,https://open.spotify.com/album/1gH9rdHenF2tgGr5Q1EjNW,https://open.spotify.com/track/2kbTe9JWzLAXa4MCp1FVNz
70,CHUNG HA,59,2118817,https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,['k-pop'],When I Get Old,When I Get Old,68,2022-10-20,184732,False,https://open.spotify.com/album/3mJMHqT2w0HwjQkneNVE14,https://open.spotify.com/track/5f2CcxzZoW7hNs1O8NhG6y
71,Jang Beom June,39,142179,https://open.spotify.com/artist/529ZdRwFoSKtQ0LPwKxGiu,"['korean pop', 'korean singer-songwriter']",Your Shampoo Scent In The Flowers,"Be Melodramatic (Original Television Soundtrack), Pt. 3",53,2019-08-23,168492,False,https://open.spotify.com/album/5ceWbG2nV9xM9z9ZYdD3Mg,https://open.spotify.com/track/49jhaFKylisSzgaReEP2Jt
72,Lee Moon Sae,41,120550,https://open.spotify.com/artist/2eVlgLy3Aym09gM3dqx6cq,"['classic korean pop', 'korean pop']",Talk About Love,"The Good Bad Mother (Original Television Soundtrack, Pt. 6)",52,2023-05-24,218000,False,https://open.spotify.com/album/2KFsvdLGizodPJeSc39k30,https://open.spotify.com/track/4jJG67ZARJRVBBIXMf0qpM
73,Choi Yuree,43,19260,https://open.spotify.com/artist/6qvVoPGEqNCyYSjYCgfV1v,"['k-pop ballad', 'korean singer-songwriter']",Wish,"Hometown Cha-Cha-Cha, Pt. 4 (Original Television Soundtrack)",57,2021-09-25,237426,False,https://open.spotify.com/album/0I9P3bt2K8NAB97yh7uBPf,https://open.spotify.com/track/12n9WBfLII5EdQFzQiQFqv
74,Girls' Generation,61,2447875,https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']",FOREVER 1,FOREVER 1 - The 7th Album,70,2022-08-05,202533,False,https://open.spotify.com/album/3CcgnUkTrUaPTt4Ms1MkoP,https://open.spotify.com/track/1oen3GpTcA486fTHaT7neg
75,BSS,59,336975,https://open.spotify.com/artist/1uAT5bTSp6dWbNmixIUP5t,['k-pop'],Fighting (Feat. Lee Young Ji),BSS 1st Single Album 'SECOND WIND',78,2023-02-06,204466,False,https://open.spotify.com/album/4dHtpne5cAAGgDYFNHu7jW,https://open.spotify.com/track/7eBpUuPnDTfbeP1P4P93CS
76,MAKTUB,38,75153,https://open.spotify.com/artist/0frNU3rG4ltOP4GNBA1g4j,['korean pop'],To You My Light (feat. Lee Raon),Red Moon: To You My Light,54,2019-06-09,265586,False,https://open.spotify.com/album/1pqAIHe422sy6zGwJhvcqO,https://open.spotify.com/track/5kPpA4aMFeAQnahSnTIOi4
77,Parc Jae Jung,37,20225,https://open.spotify.com/artist/7kXQtwn3ZRTBc8JYNyGwQy,"['korean ost', 'korean pop']",Let's Say Goodbye,Alone,52,2023-04-20,243853,False,https://open.spotify.com/album/3dmYqpVPhfNzIGLd3p57Y4,https://open.spotify.com/track/2KNEK9rGKQKKNE6FTt8PvQ
78,LISA,77,4829395,https://open.spotify.com/artist/5L1lO4eRHmJ7a0Q6csE5cT,['k-pop'],MONEY,LALISA,83,2021-09-10,168227,True,https://open.spotify.com/album/66OYt73mqan1hWa78BhfPd,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
79,WINNER,53,2552015,https://open.spotify.com/artist/5DuzBeOgFwViFcv00Q5PFb,"['k-pop', 'k-pop boy group']",REALLY REALLY,FATE NUMBER FOR,66,2017-04-04,203056,False,https://open.spotify.com/album/7aUSYOs4iSl0qx28lelrs0,https://open.spotify.com/track/4iJyTp1KwCeBKhf7h0SwsD
80,Jukjae,43,85766,https://open.spotify.com/artist/7bWYN0sHvyH7yv1uefX07U,['korean pop'],Fall In Love,"Nevertheless, (Original Television Soundtrack, Pt. 7)",52,2021-07-31,239893,False,https://open.spotify.com/album/4xi27YjXGPBNbrONMJBnfm,https://open.spotify.com/track/13jOUAJE5tHgidRLrmSpO5
81,BUZZ,36,65210,https://open.spotify.com/artist/4SdXXEHKFa5NSoh10QxeN2,"['classic k-pop', 'korean pop']",가시,Buzz Effect,49,2005-03-03,241506,False,https://open.spotify.com/album/5x4zrXuHdIusSB0umnih8n,https://open.spotify.com/track/7csMuPqdOPaFKby0AoRYL5
82,DAVICHI,53,728628,https://open.spotify.com/artist/4z6yrDz5GfKXkeQZjOaZdq,['k-pop'],This Love,Descendants Of The Sun Pt.3 (Original Television Soundtrack),67,2016-03-03,225171,False,https://open.spotify.com/album/3NnCgQwNBmXdppDt9PSpmu,https://open.spotify.com/track/1mh5s6XJ3RLJBRPErACsHW
83,IZ*ONE,59,1877003,https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,"['k-pop', 'k-pop girl group']",Panorama,One-reeler / Act IV,70,2020-12-07,222853,False,https://open.spotify.com/album/3gfl9D7cMW3K87YiMbqsWK,https://open.spotify.com/track/0CnpSTdL9l5vQM4YnzXtyo
84,Hwa Sa,59,4196257,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ,"['k-pop', 'korean talent show']",Physical (feat. Hwa Sa),Physical (Remixes),47,2020-03-25,193696,False,https://open.spotify.com/album/7jZt48FNrqTEO8SFaZHwl7,https://open.spotify.com/track/55YftXJ01Oa2Z4VsPNnJfL
85,Roy Kim,45,252694,https://open.spotify.com/artist/3ErHVJMsxTq2lLSmnONBm9,['korean pop'],Only Then,Only Then,57,2018-02-12,248835,False,https://open.spotify.com/album/4erAMXv1Uin2wnf1vW4Eqq,https://open.spotify.com/track/7mFigNlS2dsKMhcmJyfpeg
86,OH MY GIRL,52,1733039,https://open.spotify.com/artist/2019zR22qK2RBvCqtudBaI,"['k-pop', 'k-pop girl group']",Nonstop,NONSTOP,63,2020-04-27,202760,False,https://open.spotify.com/album/7J8Kp48L7RdLkpjSVrO5PY,https://open.spotify.com/track/5joNJn9LUvYcamWwa2iYCL
